rating,sentiment,cleaned_comment,comment
2,0,خیلی عالی نیست ولی خوبه نصب خیلی جا جا میشه الکی,خیلی عالی نیست ولی خوبه. تو نصبش خیلی جا به جا میشه الکی .
5,1,فوق العادست,فوق العادست.
2,0,توجه قیمت خوبه ولی برش زیاد دقیق نیست اگه دست جابه جا میشه,با توجه به قیمتش خوبه ولی برشش زیاد دقیق نیست و اگه دست بزنی جابه جا میشه
5,1,باتوجه ضخامت کم سالم ماندن دوربین جدید جلوگیری خش افتادن روی صفحه دوربین حتما لازم اس,باتوجه به ضخامت کم گوشیها برای سالم ماندن دوربینهای جدید و جلوگیری از خش افتادن روی صفحه دوربین حتما لازم است
0,0,کاملا مناسبه لنز محافظت میکنه,کاملا مناسبه و از لنز محافظت میکنه
4,1,خیلی خوبه چسب خوب‌بود فقط کاشکی معلوم‌بود چسب کدو طرفشه مجبور دست چسب کدو طرفه,خیلی خوبه چسبش هم خوب بود فقط کاشکی معلوم بود چسبش کدوم طرفشه مجبور شدم دست بزنم تا ببینم چسب کدوم طرفه
1,0,مال,مال من شکسته بود.
0,0,بجا ارسال محافظ لنز گلس صفحه نمایش فرستادن برام,بجای ارسال محافظ لنز گلس صفحه نمایش فرستادن برام
1,0,کیفیت خیلی پایی,کیفیت خیلی پاییین
0,0,اصلا خوب نیست,اصلا خوب نیست
5,1,عالی مستحکم,عالی و مستحکم
0,0,خیلی بی‌کیفیت چسب خیلی ضعیف,خیلی بی کیفیت و چسبش خیلی ضعیف
0,0,نظر کیفیت خوبی,به نظر کیفیت خوبی ندارد
0,0,خوب,خوب بود
2,0,گلس سفارش اما سه a30 نبود یک سانت بزرگتر,من این گلس رو سفارش دادم اما واسه گوشی a30 نبود، یک سانت بزرگتر بود
5,1,دنبال کمتر قیمت بهترین کیفیت‌بودم چون نوشته بودن قیمت پایین تر کیفیت کمتر دارن اینو راضی,من دنبال کمترین قیمت و بهترین کیفیت بودم،چون نوشته بودن قیمتای پایین تر کیفیت کمتری دارن اینو گرفتم،راضیم
5,1,شگفت‌انگیز 799 فروشنده خود دیجیکالا‌بود برچسب گارانتی جعبه‌بود 2025 شروع میشه نظر قیمت کاملا ارزنده هست چون سرچ پایین تر قیمت موجود‌بود حالا اینکه دقیقا 20 هزار باشه یا کمتر اطلاع ولی فناوری PD QC پشتیبانی میکنه سرعت بالا میبره کل ممنون‌از کشور سازنده دیجیکالا همچین فناوری قیمت اختیار قرار دادن,"من تو شگفت انگیز ۷۹۹ خریدم 
که فروشنده هم خود دیجیکالا بود 
برچسب گارانتی رو جعبه بود که از ۲۰۲۵ شروع میشه 
به نظر من با این قیمت کاملا ارزنده هست چون من سرچ کردم پایین ترین قیمت موجود بود 
حالا اینکه دقیقا ۲۰ هزار باشه یا کمتر رو اطلاع ندارم 
ولی از فناوری PD
و QC پشتیبانی میکنه که سرعت شارژ رو بالا میبره 
در کل که ممنون‌از کشور سازنده و دیجیکالا که همچین فناوری رو با این قیمت در اختیار ما قرار دادن."
5,1,پاوربانک خوبی‌بود گارانتی یک سال نیم سریع پشتیبانی میکنه تایپ سی استفاده کن کردن همچنین کردن خود روی آیفون 16 تست سرعت نسبتا خوب‌بود داغ نسبت قیمت خوبه نظر رابطه واقعی بودن ظرفیت توجه قیمت باید زمان بگذره چطوره,پاوربانک خوبی بود گارانتی هم یک سال و نیم داشت شارژ سریع هم پشتیبانی میکنه از کابل تایپ سی استفاده کنین برای شارژ کردنش و همچنین شارژ کردن خود گوشی روی آیفون 16 هم من تست کردم سرعت شارژش نسبتا خوب بود گوشی هم داغ نمیکرد نسبت به قیمتش خوبه به نظرم در رابطه با واقعی بودن ظرفیتش هم با توجه به قیمتش باید زمان بگذره ببینیم چطوره
5,1,درود پاوربانک محدوده قیمت خودش خیلی عالی‌بود موتورولا تایپ سی هست شارژرش عالی کار میکنه موتورلا G35 یک ساعته نیم 100 درصد میکنه 3 بار نصف حدودا میکنه - گارانتی 17 ماه‌بود وقتی دست رسید فقط نکته بقیه خریدارا کامنت گذاشتن بابت شدن اینا حتما کردن خودتون صورتی امکان تایپ سی سی استفاده سریعتره خود پاوربنک شارژر شار ...,درود. این پاوربانک تو محدوده قیمت خودش خیلی عالی بود برای گوشی موتورولا گرفتم من که تایپ سی هم هست فست شارژرش عالی کار میکنه برای موتورلا G35 و یک ساعته و نیم گوشی رو 100 درصد میکنه 3 بار و نصفی هم حدودا شارژ میکنه گوشی رو - گارانتیش هم 17 ماه بود وقتی دست من رسید فقط نکته ای که بقیه خریدارا هم تو کامنت ها گذاشتن بابت شارژ شدن و اینا حتما هم برای شارژ کردنش هم گوشی خودتون در صورتی که امکانش رو دارید از کابل تایپ سی به سی استفاده کنید که سریعتره خود پاوربنک هم با شارژر فست شار ...
